customer_id,age,gender,income,country,signup_date,days_as_customer,subscription_type,monthly_charge,login_count,last_login,avg_session_duration,support_tickets,total_spent,churned
CUST_0001,47,M,28575.0,USA,2024-06-16 18:05:53.715691,516,Basic,9.99,48,2025-09-18 18:05:53.732365,17.158892658310094,0,152.7784277753258,1
CUST_0002,37,M,21720.0,France,2021-07-01 18:05:53.715691,1597,Standard,19.99,50,2025-10-30 18:05:53.732370,15.574343482440373,0,1242.5641313608196,0
CUST_0003,49,M,,USA,2021-01-05 18:05:53.715691,1774,Basic,9.99,68,2025-10-15 18:05:53.732372,7.078390582394778,0,527.0442725764937,0
CUST_0004,62,M,15469.0,France,2025-01-11 18:05:53.715691,307,Premium,39.99,46,2025-11-13 18:05:53.732373,17.233925353672316,1,416.25901208640585,0
CUST_0005,36,F,31764.0,Canada,2022-06-01 18:05:53.715691,1262,Standard,19.99,48,2025-11-07 18:05:53.732374,36.68000836311938,1,873.6523965997776,0
CUST_0006,36,M,10129.0,USA,2022-03-31 18:05:53.715691,1324,Standard,19.99,49,2025-10-26 18:05:53.732375,5.852352602735119,0,842.4500981008422,0
CUST_0007,63,M,18616.0,USA,2022-02-15 18:05:53.715691,1368,Basic,9.99,43,2025-11-04 18:05:53.732375,5.712260317451386,0,413.12031121662056,0
CUST_0008,51,F,23422.0,USA,2021-08-27 18:05:53.715691,1540,Standard,19.99,50,2025-08-12 18:05:53.732376,76.08391385494512,1,846.1819189472656,0
CUST_0009,32,M,62841.0,USA,2025-01-01 18:05:53.715691,317,Premium,39.99,46,2025-09-28 18:05:53.732377,10.729402730149438,0,482.4764343251698,0
CUST_0010,48,F,51229.0,USA,2021-06-12 18:05:53.715691,1616,Basic,9.99,45,2025-09-15 18:05:53.732378,14.584329226670269,1,466.3823554432628,0
CUST_0011,33,F,27530.0,Canada,2024-08-31 18:05:53.715691,440,Basic,9.99,38,2025-10-27 18:05:53.732379,18.378444158276377,0,131.70691601001718,0
CUST_0012,33,M,52297.0,Canada,2025-01-09 18:05:53.715691,309,Basic,9.99,56,2025-10-26 18:05:53.732380,6.306290160300309,0,116.53632437117884,0
CUST_0013,43,F,56603.0,Canada,2023-12-06 18:05:53.715691,709,Standard,19.99,52,2025-09-26 18:05:53.732381,40.6946545520544,2,441.0291533672838,0
CUST_0014,18,F,33512.0,Canada,2021-05-12 18:05:53.715691,1647,Standard,19.99,55,2025-10-31 18:05:53.732382,25.05200507529096,0,1158.6075658532327,0
CUST_0015,18,M,18175.0,France,2024-03-08 18:05:53.715691,616,Basic,9.99,47,2025-10-26 18:05:53.732383,73.45330990848366,1,211.97499888724,0
CUST_0016,31,M,32730.0,India,2023-03-29 18:05:53.715691,961,Standard,19.99,56,2025-10-23 18:05:53.732384,16.58767472337889,0,714.3222135642885,0
CUST_0017,24,F,34581.0,USA,2021-01-19 18:05:53.715691,1760,Premium,39.99,36,2025-10-17 18:05:53.732384,21.57785993216807,0,2485.044260257551,0
CUST_0018,44,F,19610.0,Canada,2021-01-15 18:05:53.715691,1764,Basic,9.99,44,2025-10-14 18:05:53.732385,12.03217513903652,0,560.649082918683,0
